Time;Open;High;Low;Close;TickVolume;RealVolume;Spread;AskClose
2026.01.21 00:00:00;0.871800;0.872230;0.871460;0.871670;1627;0;12;0.871790
2026.01.21 01:00:00;0.871670;0.872500;0.871560;0.872450;1774;0;15;0.872600
2026.01.21 02:00:00;0.872440;0.872500;0.872010;0.872060;2231;0;14;0.872200
2026.01.21 03:00:00;0.872060;0.872240;0.871800;0.871810;3231;0;13;0.871940
2026.01.21 04:00:00;0.871810;0.872250;0.871720;0.872170;1750;0;12;0.872290
2026.01.21 05:00:00;0.872170;0.872220;0.871630;0.871830;2175;0;14;0.871970
2026.01.21 06:00:00;0.871830;0.872050;0.871800;0.871920;1608;0;14;0.872060
2026.01.21 07:00:00;0.871920;0.872150;0.871780;0.871890;1888;0;14;0.872030
2026.01.21 08:00:00;0.871890;0.872470;0.871800;0.872440;1847;0;12;0.872560
2026.01.21 09:00:00;0.872440;0.872680;0.871420;0.871530;3055;0;12;0.871650
2026.01.21 10:00:00;0.871530;0.871790;0.870810;0.871290;2995;0;12;0.871410
2026.01.21 11:00:00;0.871290;0.872750;0.871240;0.872640;2487;0;12;0.872760
2026.01.21 12:00:00;0.872640;0.873300;0.872600;0.873090;2718;0;13;0.873220
2026.01.21 13:00:00;0.873080;0.873570;0.872920;0.873470;2989;0;12;0.873590
2026.01.21 14:00:00;0.873470;0.874320;0.873250;0.874030;3164;0;12;0.874150
2026.01.21 15:00:00;0.874040;0.874490;0.873150;0.873260;3669;0;12;0.873380
2026.01.21 16:00:00;0.873260;0.873400;0.871360;0.871580;6884;0;12;0.871700
2026.01.21 17:00:00;0.871580;0.871610;0.871080;0.871420;5246;0;12;0.871540
2026.01.21 18:00:00;0.871420;0.871580;0.870890;0.871480;4834;0;12;0.871600
2026.01.21 19:00:00;0.871480;0.871960;0.871300;0.871440;3538;0;12;0.871560
2026.01.21 20:00:00;0.871440;0.871720;0.871260;0.871410;2229;0;13;0.871540
2026.01.21 21:00:00;0.871420;0.871650;0.870620;0.870740;4754;0;13;0.870870
2026.01.21 22:00:00;0.870750;0.870890;0.870330;0.870480;2912;0;13;0.870610
2026.01.21 23:00:00;0.870450;0.870490;0.869810;0.869810;2054;0;13;0.869940
2026.01.22 00:00:00;0.869810;0.870330;0.869480;0.869860;1476;0;12;0.869980
2026.01.22 01:00:00;0.869820;0.870070;0.869450;0.869840;1538;0;12;0.869960
2026.01.22 02:00:00;0.869850;0.870440;0.869840;0.870190;2503;0;12;0.870310
2026.01.22 03:00:00;0.870190;0.870350;0.869940;0.870230;2538;0;13;0.870360
2026.01.22 04:00:00;0.870230;0.870440;0.870110;0.870320;1895;0;14;0.870460
2026.01.22 05:00:00;0.870320;0.870330;0.870110;0.870110;1433;0;14;0.870250
2026.01.22 06:00:00;0.870120;0.870400;0.870120;0.870370;1546;0;13;0.870500
2026.01.22 07:00:00;0.870370;0.870580;0.870240;0.870300;1542;0;14;0.870440
2026.01.22 08:00:00;0.870300;0.870800;0.870250;0.870520;1855;0;14;0.870660
2026.01.22 09:00:00;0.870520;0.870520;0.869880;0.870310;2315;0;13;0.870440
2026.01.22 10:00:00;0.870310;0.871360;0.870170;0.871040;2918;0;12;0.871160
2026.01.22 11:00:00;0.871050;0.871080;0.869490;0.869630;2416;0;12;0.869750
2026.01.22 12:00:00;0.869630;0.869740;0.869200;0.869590;2323;0;12;0.869710
2026.01.22 13:00:00;0.869610;0.872310;0.869230;0.871880;5005;0;12;0.872000
2026.01.22 14:00:00;0.871880;0.872080;0.870830;0.871690;3399;0;12;0.871810
2026.01.22 15:00:00;0.871690;0.873200;0.871420;0.872600;4792;0;12;0.872720
2026.01.22 16:00:00;0.872600;0.872770;0.871360;0.871470;4486;0;12;0.871590
2026.01.22 17:00:00;0.871480;0.871490;0.869970;0.870540;4177;0;12;0.870660
2026.01.22 18:00:00;0.870540;0.870770;0.869970;0.870140;3700;0;12;0.870260
2026.01.22 19:00:00;0.870150;0.870710;0.870050;0.870530;3021;0;12;0.870650
2026.01.22 20:00:00;0.870530;0.870540;0.869920;0.870180;2034;0;13;0.870310
2026.01.22 21:00:00;0.870180;0.870610;0.870150;0.870420;1619;0;13;0.870550
2026.01.22 22:00:00;0.870420;0.870500;0.870160;0.870360;1492;0;14;0.870500
2026.01.22 23:00:00;0.870360;0.870520;0.870010;0.870240;1776;0;13;0.870370
